provincia,Poblacion,mes,Num,Total_cap
Ciudad Real,495761,2,10,2.01710098212647e-05
Ciudad Real,495761,3,4511,0.0090991425303725
Ciudad Real,495761,4,1346,0.00271501792194223
Ciudad Real,495761,5,327,0.000659592021155355
Ciudad Real,495761,6,228,0.000459899023924835
Ciudad Real,495761,7,282,0.000568822476959664
Ciudad Real,495761,8,1661,0.00335040473131206
Ciudad Real,495761,9,4582,0.00924235670010348
Ciudad Real,495761,10,3775,0.00761455620752742
Ciudad Real,495761,11,2592,0.00522832574567181
Cordoba,782979,1,0,0
Cordoba,782979,2,2,2.55434692373614e-06
Cordoba,782979,3,1038,0.00132570605341906
Cordoba,782979,4,305,0.000389537905869762
Cordoba,782979,5,28,3.5760856932306e-05
Cordoba,782979,6,7,8.94021423307649e-06
Cordoba,782979,7,272,0.000347391181628115
Cordoba,782979,8,1823,0.00232828722098549
Cordoba,782979,9,3778,0.00482516133893757
Cordoba,782979,10,9186,0.0117321154207201
Cordoba,782979,11,5608,0.00716238877415614
Cuenca,196329,1,0,0
Cuenca,196329,2,3,1.52804730834467e-05
Cuenca,196329,3,1512,0.00770135843405712
Cuenca,196329,4,569,0.00289819639482705
Cuenca,196329,5,244,0.001242811810787
Cuenca,196329,6,46,0.000234300587279516
Cuenca,196329,7,36,0.00018336567700136
Cuenca,196329,8,378,0.00192533960851428
Cuenca,196329,9,1379,0.00702392412735765
Cuenca,196329,10,2953,0.0150410790051393
Cuenca,196329,11,1816,0.00924977970651305
Girona,771044,1,3,3.89082853896794e-06
Girona,771044,2,14,1.81571998485171e-05
Girona,771044,3,2048,0.00265613894926878
Girona,771044,4,1634,0.00211920461089121
Girona,771044,5,505,0.000654956137392937
Girona,771044,6,244,0.000316454054502726
Girona,771044,7,1060,0.00137475941710201
Girona,771044,8,1822,0.00236302986599987
Girona,771044,9,3562,0.00461971041860127
Girona,771044,10,11418,0.014808493419312
Girona,771044,11,5709,0.007404246709656
Granada,914678,1,0,0
Granada,914678,2,5,5.46640457078885e-06
Granada,914678,3,1905,0.00208270014147055
Granada,914678,4,577,0.000630823087469033
Granada,914678,5,51,5.57573266220462e-05
Granada,914678,6,138,0.000150872766153772
Granada,914678,7,392,0.000428566118349846
Granada,914678,8,1696,0.00185420443041158
Granada,914678,9,4380,0.00478857040401103
Granada,914678,10,19931,0.0217901819000785
Granada,914678,11,12287,0.0134331425922565
