provincia_iso,provincia,dia,mes,año,num_casos
LO,La Rioja,10,09,2020,85
LU,Lugo,10,09,2020,19
M,Madrid,10,09,2020,4308
MA,Malaga,10,09,2020,257
ME,Melilla,10,09,2020,36
MU,Murcia,10,09,2020,425
,Navarra,10,09,2020,313
O,Asturias,10,09,2020,51
OR,Ourense,10,09,2020,45
P,Palencia,10,09,2020,62
PM,Islas Baleares,10,09,2020,166
PO,Pontevedra,10,09,2020,92
S,Cantabria,10,09,2020,113
SA,Salamanca,10,09,2020,128
SE,Sevilla,10,09,2020,252
SG,Segovia,10,09,2020,33
SO,Soria,10,09,2020,18
SS,Guipuzcoa,10,09,2020,122
T,Tarragona,10,09,2020,92
TE,Teruel,10,09,2020,45
TF,Santa Cruz de Tenerife,10,09,2020,44
TO,Toledo,10,09,2020,402
V,Valencia,10,09,2020,305
VA,Valladolid,10,09,2020,230
VI,Alava,10,09,2020,36
Z,Zaragoza,10,09,2020,261
ZA,Zamora,10,09,2020,66
A,Alicante,11,09,2020,236
AB,Albacete,11,09,2020,64
AL,Almeria,11,09,2020,83
AV,Avila,11,09,2020,41
B,Barcelona,11,09,2020,539
BA,Badajoz,11,09,2020,109
BI,Bizkaia,11,09,2020,174
BU,Burgos,11,09,2020,131
C,A Coruña,11,09,2020,84
CA,Cadiz,11,09,2020,207
CC,Caceres,11,09,2020,96
CE,Ceuta,11,09,2020,19
CO,Cordoba,11,09,2020,179
CR,Ciudad Real,11,09,2020,191
CS,Castellon,11,09,2020,51
CU,Cuenca,11,09,2020,35
GC,Las Palmas,11,09,2020,125
GI,Girona,11,09,2020,94
GR,Granada,11,09,2020,177
GU,Guadalajara,11,09,2020,136
H,Huelva,11,09,2020,21
HU,Huesca,11,09,2020,81
J,Jaen,11,09,2020,109
L,Lleida,11,09,2020,31
LE,Leon,11,09,2020,124
LO,La Rioja,11,09,2020,101
LU,Lugo,11,09,2020,32
M,Madrid,11,09,2020,5146
MA,Malaga,11,09,2020,295
ME,Melilla,11,09,2020,27
MU,Murcia,11,09,2020,456
,Navarra,11,09,2020,313
O,Asturias,11,09,2020,72
OR,Ourense,11,09,2020,25
P,Palencia,11,09,2020,66
PM,Islas Baleares,11,09,2020,155
PO,Pontevedra,11,09,2020,56
